persona,institucion,intervencion_2024,fecha_designacion,mecanismo_legal,organo_formal,modalidad,atribucion_partidista_documentada,partido_mencionado,tipo_evidencia,conclusion,url_fuente
Jorge Montaño Ventura,INE,Presidente de la Comisión de Fiscalización y consejero,2023-03-31,Artículo 41 constitucional,Cámara de Diputados,Insaculación,no,,insaculacion,Un partido no escogió individualmente al ganador,https://www.diputados.gob.mx/LeyesBiblio/marjur/marco/Dip_decreto_consejeros_INE_04abr23.pdf
Arturo Castillo Loza,INE,Consejero del Consejo General,2023-03-31,Artículo 41 constitucional,Cámara de Diputados,Insaculación,no,,insaculacion,Un partido no escogió individualmente al ganador,https://www.diputados.gob.mx/LeyesBiblio/marjur/marco/Dip_decreto_consejeros_INE_04abr23.pdf
Felipe de la Mata Pizaña,TEPJF,Magistrado ponente en Sala Superior,2016-10-20,Artículo 99 constitucional y artículo 198 LOPJF,Senado a partir de terna SCJN,Votación por cédula,no,,voto_secreto,No es posible atribuir oficialmente su elección a votos individuales de un partido,https://infosen.senado.gob.mx/sgsp/gaceta/63/2/2016-11-04-1/assets/documentos/Acuerdo_MD_Impugnacion_Materia_Electoral_04112016.pdf
Felipe Fuentes Barrera,TEPJF,Magistrado integrante de Sala Superior,2016-10-20,Artículo 99 constitucional y artículo 198 LOPJF,Senado a partir de terna SCJN,Votación por cédula,no,,voto_secreto,No es posible atribuir oficialmente su elección a votos individuales de un partido,https://infosen.senado.gob.mx/sgsp/gaceta/63/2/2016-11-04-1/assets/documentos/Acuerdo_MD_Impugnacion_Materia_Electoral_04112016.pdf
Janine Otálora Malassis,TEPJF,Magistrada integrante y voto razonado en Sala Superior,2016-10-20,Artículo 99 constitucional y artículo 198 LOPJF,Senado a partir de terna SCJN,Votación por cédula,no,,voto_secreto,No es posible atribuir oficialmente su elección a votos individuales de un partido,https://infosen.senado.gob.mx/sgsp/gaceta/63/2/2016-11-04-1/assets/documentos/Acuerdo_MD_Impugnacion_Materia_Electoral_04112016.pdf
Reyes Rodríguez Mondragón,TEPJF,Magistrado integrante de Sala Superior,2016-10-20,Artículo 99 constitucional y artículo 198 LOPJF,Senado a partir de terna SCJN,Votación por cédula,no,,voto_secreto,No es posible atribuir oficialmente su elección a votos individuales de un partido,https://infosen.senado.gob.mx/sgsp/gaceta/63/2/2016-11-04-1/assets/documentos/Acuerdo_MD_Impugnacion_Materia_Electoral_04112016.pdf
Mónica Soto Fregoso,TEPJF,Magistrada integrante de Sala Superior,2016-10-20,Artículo 99 constitucional y artículo 198 LOPJF,Senado a partir de terna SCJN,Votación por cédula,no,,voto_secreto,No es posible atribuir oficialmente su elección a votos individuales de un partido,https://infosen.senado.gob.mx/sgsp/gaceta/63/2/2016-11-04-1/assets/documentos/Acuerdo_MD_Impugnacion_Materia_Electoral_04112016.pdf
Claudia Valle Aguilasocho,TEPJF,Magistrada integrante de Sala Monterrey,2016-03-17,Artículo 99 constitucional y artículo 198 LOPJF,Senado a partir de terna SCJN,Mayoría calificada,no,,sin_atribucion_oficial,No se acredita designación individual por un partido,https://www.te.gob.mx/front3/bulletins/detail/22127/2
Ernesto Camacho Ochoa,TEPJF,Magistrado integrante de Sala Monterrey,2019-03-28,Artículo 99 constitucional y artículo 198 LOPJF,Senado a partir de terna SCJN,Mayoría calificada,no,,sin_atribucion_oficial,No se acredita designación individual por un partido,https://www.te.gob.mx/front3/bulletins/detail/3599/0
Elena Ponce Aguilar,TEPJF,Ponente en funciones en Sala Monterrey,2024,Regla de suplencia de la LOPJF,TEPJF,Magistratura en funciones,no,,suplencia_interna,No fue designada para el asunto por un partido,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SM-JDC-0245-2024-
